NUM,Community Area,2010,POD
1,Rogers Park,54991,10
2,West Ridge,71942,11
3,Uptown,56362,5
4,Lincoln Square,39493,3
5,North Center,31867,0
6,Lake View,94368,6
7,Lincoln Park,64116,1
8,Near North Side,80484,5
9,Edison Park,11187,0
10,Norwood Park,37023,2
11,Jefferson Park,25448,0
12,Forest Glen,18508,0
13,North Park,17931,1
14,Albany Park,51542,17
15,Portage Park,64124,2
16,Irving Park,53359,2
17,Dunning,41932,0
18,Montclare,13426,0
19,Belmont Cragin,78743,5
20,Hermosa,25010,5
21,Avondale,39262,1
22,Logan Square,73595,6
23,Humboldt Park,56323,18
24,West Town,81432,7
25,Austin,98514,25
26,West Garfield Park,18001,10
27,East Garfield Park,20567,15
28,Near West Side,54881,12
29,North Lawndale,35912,16
30,South Lawndale,79288,4
31,Lower West Side,35769,20
32,Loop,29283,7
33,Near South Side,21390,0
34,Armour Square,13391,9
35,Douglas,18238,4
36,Oakland,5918,1
37,Fuller Park,2876,2
38,Grand Boulevard,21929,3
39,Kenwood,17841,3
40,Washington Park,11717,1
41,Hyde Park,25681,2
42,Woodlawn,25983,2
43,South Shore,49767,1
44,Chatham,31028,1
45,Avalon Park,10185,0
46,South Chicago,31198,4
47,Burnside,2916,0
48,Calumet Heights,13812,1
49,Roseland,44619,8
50,Pullman,7325,0
51,South Deering,15109,2
52,East Side,23042,1
53,West Pullman,29651,6
54,Riverdale,6482,0
55,Hegewisch,9426,1
56,Garfield Ridge,34513,3
57,Archer Heights,13393,1
58,Brighton Park,45368,1
59,McKinley Park,15612,1
60,Bridgeport,31977,5
61,New City,44377,4
62,West Elsdon,18109,0
63,Gage Park,39894,1
64,Clearing,23139,4
65,West Lawn,33355,3
66,Chicago Lawn,55628,3
67,West Englewood,35505,5
68,Englewood,30654,4
69,Greater Grand Crossing,32602,2
70,Ashburn,41081,3
71,Auburn Gresham,48743,4
72,Beverly,20034,0
73,Washington Heights,26493,1
74,Mount Greenwood,19093,0
75,Morgan Park,22544,7
76,O'Hare,12756,0
77,Edgewater,56521,4
